DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2736.5,17.496,-0.0174,2.187,92.2969,12.404,0.3271,200.2049
2737.0,17.496,-0.0131,2.183,91.1607,13.209,0.3302,200.204
2737.5,17.496,0.0043,2.161,90.0058,14.1729,0.3328,200.1294
2738.0,17.446,0.0043,2.15,89.8401,14.4893,0.3308,199.7853
2738.5,17.3961,-0.0001,2.15,90.0104,13.9131,0.3273,199.6361
2739.0,17.496,-0.0131,2.153,90.1579,12.7771,0.3442,199.3457
2739.5,17.3961,0.0086,2.16,90.1275,12.4621,0.3428,198.7862
2740.0,17.3961,0.0064,2.166,90.4199,12.4372,0.3404,198.4883
2740.5,17.3961,0.0043,2.164,90.4169,12.7633,0.3302,198.5855
2741.0,17.3961,0.0086,2.158,89.9903,12.1449,0.3343,198.783
2741.5,17.3961,0.0064,2.159,89.5223,11.4367,0.3526,198.9134
2742.0,17.3961,0.0086,2.159,89.4189,11.4443,0.375,199.1422
2742.5,17.3961,-0.0022,2.15,89.7285,11.6039,0.3697,199.4723
2743.0,17.3961,0.0151,2.169,90.2315,11.4118,0.341,199.6086
2743.5,17.3961,0.0476,2.17,90.573,11.5583,0.343,199.5084
2744.0,17.3961,0.0324,2.173,90.2841,12.1739,0.3438,199.3818
2744.5,17.496,-0.0044,2.18,89.7807,12.7509,0.3324,199.2126
2745.0,17.496,-0.0087,2.179,89.5629,13.2242,0.3182,199.0513
2745.5,17.5959,-0.0109,2.163,89.7665,13.6312,0.3243,199.2809
2746.0,17.5959,0.0216,2.142,90.2035,13.4902,0.3088,199.8885
2746.5,17.5959,0.0238,2.114,90.4549,12.1663,0.322,200.3261
2747.0,17.5959,-0.0022,2.102,90.9429,10.5903,0.3165,200.3007
2747.5,17.5959,0.0086,2.087,91.4116,10.403,0.3137,200.2121
2748.0,17.5959,-0.0066,2.079,91.542,10.8176,0.3121,200.2049
2748.5,17.5959,0.0389,2.081,91.5206,11.5583,0.3178,200.2049
2749.0,17.0963,0.0476,2.133,91.4156,11.9369,0.3153,200.2049
2749.5,17.3961,-0.0152,2.18,90.8474,11.7518,0.3261,200.3557
2750.0,17.3961,-0.0196,2.178,90.921,10.9385,0.3334,200.4543
2750.5,17.446,-0.0456,2.158,91.4771,10.9295,0.3463,200.4701
2751.0,17.446,-0.0391,2.158,91.7866,10.5474,0.3627,200.6088
2751.5,17.446,-0.0326,2.154,91.7463,9.8503,0.3501,200.5868
2752.0,17.496,-0.0282,2.159,91.7567,9.9304,0.3161,200.2324
2752.5,17.496,-0.0261,2.16,91.4798,10.5688,0.3165,199.6069
2753.0,17.446,-0.0239,2.164,91.1446,10.8452,0.3074,199.1762
2753.5,17.3961,-0.0217,2.163,90.762,10.8452,0.3003,199.1437
2754.0,17.3961,-0.0239,2.148,90.0014,11.0974,0.3045,199.2383
2754.5,17.446,-0.0434,2.146,89.0637,11.0235,0.3192,199.4054
2755.0,17.446,-0.0304,2.139,87.5396,10.3201,0.3294,199.408
2755.5,17.496,-0.0369,2.132,87.6252,9.8862,0.3365,199.4121
2756.0,17.546,-0.0586,2.117,88.1827,9.9808,0.3548,199.4844
2756.5,17.6459,-0.0759,2.11,89.311,10.1018,0.376,199.804
2757.0,17.496,-0.0412,2.111,90.7021,10.3553,0.3927,200.2641
2757.5,17.446,-0.0066,2.112,91.0685,10.8121,0.386,200.4705
2758.0,17.446,-0.0001,2.12,90.9722,11.2259,0.3817,200.4739
2758.5,17.3961,0.0216,2.137,90.3427,11.7642,0.398,200.5253
2759.0,17.496,0.0238,2.121,91.0565,10.7333,0.4051,200.65
2759.5,17.496,0.0173,2.092,91.5913,10.1653,0.4049,200.4973
2760.0,17.496,-0.0087,2.065,92.4973,10.2406,0.4053,200.3981
2760.5,17.6459,-0.0174,2.055,93.7909,10.4224,0.4002,200.189
2761.0,17.6459,0.0281,2.044,95.0448,10.365,0.379,200.0602
2761.5,17.496,0.0129,2.092,95.5899,10.2704,0.3611,200.1541
2762.0,17.6959,-0.0044,2.141,95.3648,10.1757,0.3373,200.2737
2762.5,17.546,-0.0022,2.154,94.7419,9.9456,0.3298,200.4111
2763.0,17.546,-0.0174,2.156,93.9431,10.1018,0.3332,200.5302
2763.5,17.6459,-0.0282,2.154,93.4192,10.6545,0.3489,200.5981
